title;url;description;related_games;genres;platforms;ign_score;ign_score_phrase;community_score;community_score_phrase;publisher;developers;rating_category;rating_content;release_date;price;review_link
A Bug's Life;http://www.ign.com/games/a-bugs-life/n64-11211;Based on the hit Disney or Pixar (creators of the TOY STORY films) movie, A Bug's Life for the Nintendo 64 brings all of the magic of the film home to your favorite console system. Join Flik and friends in a grueling battle to save the anthill from the evil and overpowering grasshoppers, which are hell-bent on taking over not only the ant colony, but also all of your food. A Bug's Life features real voice samples from the movie, so it's like actually playing the animated flick. With over 15 levels, three hidden stages, and 60 exclusive Nintendo 64 challenges, A Bug's Life is the ultimate family adventure for kids ages 2-to-72.;http://www.ign.com/games/super-mario-64/n64-606,http://www.ign.com/games/donkey-kong-64/n64-607,http://www.ign.com/games/banjo-kazooie/n64-1922,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Platformer;N64 PS GBC PC PS3 PSP PC;6.8;Okay;5.6;Mediocre;Activision, Disney Interactive Studios;Traveller's Tales;E for Everyone;;May 26, 1999;26.99 USD;http://ign64.ign.com/articles/161/161211p1.html
Castrol Honda Superbike Racing;http://www.ign.com/games/castrol-honda-superbike-racing/ps-11787;CASTROL HONDA SUPERBIKE RACING brings the thrills and challenges of driving a Honda RC45 to the PlayStation. Before taking on live competition, pick a bike and customize it. Since taking a corner too quickly will cause the bike to slide out from underneath you, use the Practice mode to learn how to stay on the bike--and on the track. When you are ready, tackle a single race on one of the 14 real-world tracks for a quick racing fix, or experience the ups and downs of a full season. After winning the championship, challenge your friends to a race to determine who is the master of the track. All your driving skills will be tested in CASTROL HONDA SUPERBIKE RACING.;http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Racing;PS;4.0;Bad;4.0;Bad;Electronic Arts;Interactive Entertainment;E for Everyone;Suitable for Persons Ages Six and Older;May 25, 1999;45.99 USD;http://psx.ign.com/articles/161/161787p1.html
Centipede [1999];http://www.ign.com/games/centipede-1999/ps-3983;Enter the world of the Wee People and do your best to save them from the QueenPede, who will stop at nothing to destroy this peaceful race of humanoids. In this remake of the classic Atari game, players take the role of Wally, the village's humble bean counter, as he is quickly recruited to man the village bug shooter and sent off to save the colony from the ruthless QueenPede and her destructive subjects -- the spiders, scorpions, and fleas -- as she sets out to conquer the peaceful wee people. Work your way through all-new 3D worlds with new weapons and skills. And if you're really good, you might just discover the original Centipede.;http://www.ign.com/games/duke-nukem-total-meltdown/ps-2194,http://www.ign.com/games/jake2/ps-10446,http://www.ign.com/games/tom-clancys-rainbow-six/ps-12260,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Shooter;PS DC PSP Mac PC PS3;5.5;Mediocre;6.5;Okay;Hasbro Interactive;Real Sports;E for Everyone;Mild Animated Violence;May 28, 1999;;http://psx.ign.com/articles/153/153983p1.html
Star Wars: Episode I: The Phantom Menace;http://www.ign.com/games/star-wars-episode-i-the-phantom-menace/pc-11411;Following the plot of the movie, Star Wars: Episode I: The Phantom Menace lets you fight through 11 levels of action. At various points in the game you will get to take control of Obi-Wan Kenobi, Qui-Gon Jinn, Queen Amidala, and Captain Panaka. Each character has a special ability or weapon to use: Obi-Wan and Qui-Gon use lightsabers and force powers, Queen Amidala's blaster can stun druids, and Captain Panaka uses a Naboo blaster. While working through each level, you can pick up new weapons like light-repeating blasters, blaster rifles, proton missile launchers, heavy blasters, thermal detonators, Gungan energy balls, flash grenades, and heavy repeating cannons. If you've seen the movie, you'll have a pretty good idea of what to expect. See if you can free Naboo from the treacherous trade federation in Star Wars: Episode I: The Phantom Menace.;http://www.ign.com/games/recore/pc-20047415,http://www.ign.com/games/life-is-strange-episode-4/pc-20031273,http://www.ign.com/games/the-walking-dead-the-game/pc-100880,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Adventure;PC Pinball PS;6.2;Okay;6.7;Okay;LucasArts;Big Ape Productions;T for Teen;Animated Violence;May 19, 1999;39.99 USD;http://pc.ign.com/articles/161/161411p1.html
Star Wars: Episode I: Racer;http://www.ign.com/games/star-wars-episode-i-racer/pc-11398;"Imagine Ben Hur in a galaxy far, far away. Replace the two-wheeled carriage with a futuristic, hovering pod -- now take away the horses and strap two giant afterburner-powered engines to the vehicle. The boost of the two fuselages pulls the carriage forward at speeds in excess of 600mph and a stream of pure energy, called a mag beam or coupler, makes sure that the engines don't fly off in opposite directions. Like its ""real,"" up to 40-foot-long counterparts in the movie, Racer's pods use a three-point dynamics system that will cause the carriage to realistically drift in the air behind its two engines. Unlike the movie, which features 18 opposing racers, Episode I Racer stars more than 21 characters complete with their rides, including three pods based on original design concepts that weren't used in the final film.";http://www.ign.com/games/forza-horizon-3/pc-20054784,http://www.ign.com/games/flatout-4/pc-20068143,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Racing;PC GBC Mac DC PS N64;8.0;Great;7.8;Good;LucasArts;LucasArts;E for Everyone;No Descriptors;May 20, 1999;9.99 USD;http://pc.ign.com/articles/161/161398p1.html
Alexi Lalas International Soccer;http://www.ign.com/games/alexi-lalas-international-soccer/ps-11538;"ALEXI LALAS INTERNATIONAL SOCCER focuses on gameplay. Players can manage the tactics and strategies of their team with ease--you make all the important decisions. If the need arises, players can also create their own formations to exploit the weaknesses of the other team. All of the subtleties of soccer are here including 250 motion-captured animations. Along with excellent gameplay, there are tons of game options available: pick one of 70 real-world teams and play in a tournament to claim domination, or play a friendly match to get a quick soccer fix; play in a day game or night game; play with Alexi or against him. ALEXI LALAS INTERNATIONAL SOCCER will help you see why soccer is the most popular sport in the world.";http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Sports;PS;5.5;Mediocre;5.4;Mediocre;Take-Two Interactive;Z-Axis;E for Everyone;No Descriptors;May 1999;42.99 USD;http://psx.ign.com/articles/161/161538p1.html
Awesome Golf;http://www.ign.com/games/awesome-golf/lynx-5854;You are on the 18th tee, one stroke begind the defending champion. Do you take your caddy's advice and play it safe or do you risk the water? Awesome Golf provides great realism and a challenge for one to four players.;http://www.ign.com/games/malibu-bikini-volleyball/lynx-4150,http://www.ign.com/games/basketbrawl/lynx-5855,http://www.ign.com/games/hyperdrome/lynx-12164,http://www.ign.com/games/checkered-flag/lynx-4136,http://www.ign.com/games/toki/lynx-5879,http://www.ign.com/games/shanghai-809520/lynx-5876;Sports;Lynx;9.0;Amazing;8.5;Great;Atari Corp. (1984-2003);Handmade Software;;;1990;;http://gameboy.ign.com/articles/155/155854p1.html
Basketbrawl;http://www.ign.com/games/basketbrawl/lynx-5855;"Vinne and Slash are bleeding from knife wounds and the ref is out cold! No wonder the gang members nicknamed this game ""Basketbrawl."" To them, it's not a game -- it's a street fight. This premise kicks off Atari's action sports game for up to two players. The objective in Basketbrawl is to become the baddest gang in the town by winning the Basketbrawl tournament. To win, you must play three games against each of the five gangs in your city.  Each time you move up to the next gang, you will play a team with more players and more dangerous weapons. Each game lasts six minutes -- out score you opponent  by shooting more baskets. Each basket is worth two points. If the game is tied after six minutes, the first team to score wins.";http://www.ign.com/games/malibu-bikini-volleyball/lynx-4150,http://www.ign.com/games/hyperdrome/lynx-12164,http://www.ign.com/games/california-games/lynx-5859,http://www.ign.com/games/tournament-cyberball-2072/lynx-4165,http://www.ign.com/games/steel-talons/lynx-4159,http://www.ign.com/games/qix/lynx-5871,http://www.ign.com/games/checkered-flag/lynx-4136,http://www.ign.com/games/toki/lynx-5879,http://www.ign.com/games/shanghai-809520/lynx-5876;Sports;Lynx 7800;4.0;Bad;4.6;Bad;Atari Corp. (1984-2003);Atari Corp. (1984-2003);;;1990;;http://gameboy.ign.com/articles/155/155855p1.html
Warzone 2100;http://www.ign.com/games/warzone-2100/ps-10813;Set amidst the shattered wastes of a society that has destroyed itself by the year 2085, players must construct a base, weapons, tanks and more. Once they've built up a vast army, the objective becomes simple: Destroy all of your enemies and take control of the planet. A real-time strategy game with a vast selection of technology and units and a real time 3D Camera. Unit types include tanks, hovercraft, VTOLs (aircraft), cyborg infantry, and weapons such as rockets, mortars, machine guns, cannons, and cluster bombs that can be fitted to the designs you create.;http://www.ign.com/games/final-fantasy-tactics/ps-26,http://www.ign.com/games/age-of-empires/ps-20051961,http://www.ign.com/games/command-and-conquer-red-alert/ps-2198,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Strategy;PS PC;7.5;Good;7.6;Good;Eidos Interactive;Pumpkin Studios;T for Teen;Animated Blood and Gore;June 24, 1999;34.99 USD;http://psx.ign.com/articles/160/160813p1.html
Batman Returns;http://www.ign.com/games/batman-returns/lynx-5856;Oswald Cobblepot, better known as The Penguin, has just ruined Gotham City's gala Christmas party. Now The Penguin and Catwoman are terrorizing the city. In a flash Bruce Wayne changes into the world's most famous super-hero, Batman! He revs up his Batmobile and races out in hot pursuit of his mortal enemies. But is it too late? Batman Returns is an action adventure in which you must guide the famed Caped Crusader through Gotham City as he tries to defeat The Penguin and Catwoman. Use the joypad to move Batman through the city. Press down on the joypad to make Batman duck, right or left to move, A to use the currently selected weapon (OPTION 1 selects the weapon), and B to make the Caped Crusader jump.;http://www.ign.com/games/toki/lynx-5879,http://www.ign.com/games/scrapyard-dog/lynx-4158,http://www.ign.com/games/pac-land/lynx-5869,http://www.ign.com/games/checkered-flag/lynx-4136,http://www.ign.com/games/toki/lynx-5879,http://www.ign.com/games/shanghai-809520/lynx-5876;Platformer;Lynx SMS NES SNES Sega-CD Gen GG;8.0;Great;6.2;Okay;Atari Corp. (1984-2003);Atari Corp. (1984-2003);;;1990;;http://gameboy.ign.com/articles/155/155856p1.html
A.P.B.;http://www.ign.com/games/apb/lynx-5847;"In this ""real arcade"" game, you and Officer Bob must search out and collar the perps who have engaged in such heinous criminal activities as littering, speeding, and assorted other forms of misconduct too despicable to mention! But while you're out there, patralling the streets in Officer Bob's police car, don't forget to refuel. Stop in at your friendly neighborhood donut shop and gain extra time. Played from an overhead perspective, players go after the bad guys while avoiding innocent bystanders and friendly vehicles -- don't hit them or you'll get demerits.";http://www.ign.com/games/robotron-2084/lynx-4147,http://www.ign.com/games/battlezone-2000/lynx-4132,http://www.ign.com/games/bill-teds-excellent-adventure/lynx-5848,http://www.ign.com/games/checkered-flag/lynx-4136,http://www.ign.com/games/toki/lynx-5879,http://www.ign.com/games/shanghai-809520/lynx-5876;Action;Lynx Amiga Arcade;8.5;Great;7.9;Good;Atari Corp. (1984-2003);Quicksilver Software;;;1990;;http://gameboy.ign.com/articles/155/155847p1.html
Command & Conquer (1999);http://www.ign.com/games/command-and-conquer/n64-1947;This version of COMMAND & CONQUER has been built from the ground up for the Nintendo 64, with new missions and graphics not available anywhere else. Other Nintendo 64 bonuses include the ability to fight from elevated terrain (instead of strictly the flatlands) and being able to configure controls on the fly, switching between Medium and High-Resolution modes (the latter requires the Expansion Pak). Players can save up to two games in progress, and completed missions can be replayed again and again to spot flaws in how the enemy works. There is also the option of going to war as either the GDI peacekeepers or the terrorist organization known as the Brotherhood of Nod. Both forces have their advantages and disadvantages, and no matter which side you choose you'll have your hands full amassing an army large enough to carry out your objectives.;http://www.ign.com/games/ogre-battle-64-person-of-lordly-caliber/n64-1923,http://www.ign.com/games/starcraft-64/n64-3894,http://www.ign.com/games/7th-legion/n64-1904,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Strategy;N64 PS3 PS PC PSP Mac Saturn;7.6;Good;7.6;Good;Nintendo;Looking Glass;T for Teen;Animated Violence;June 29, 1999;39.99 USD;http://ign64.ign.com/articles/151/151947p1.html
Heavy Gear II;http://www.ign.com/games/heavy-gear-ii/pc-3820;Heavy Gear 2, based on the pen-and-paper RPG Gears, takes place during a cease-fire in the Interpolar War between the Confederated Northern City-States and the Allied Southern Territories, now allied against a common threat.  A squad of elite piolots is given the mission to go behind enemy lines and discover the enemy plans for invasion.  As one of these pilots, you are among the finest warriors in our history, and you will be outfitted with top-of-the-line Gear equipment to match your elite warrior status.;http://www.ign.com/games/civilization-beyond-earth/pc-20016115,http://www.ign.com/games/simcity/pc-128952,http://www.ign.com/games/civilization-beyond-earth-rising-tide/pc-20040683,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Simulation;PC;8.4;Great;7.8;Good;Activision;Activision;T for Teen;Blood, Animated Violence;Jun 23, 1999;71.99 USD;http://pc.ign.com/articles/153/153820p1.html
The Next Tetris;http://www.ign.com/games/the-next-tetris/ps-11164;The next wave of tumbling blocks has arrived in the form of THE NEXT TETRIS. Unlike previous installments in the TETRIS universe, each stage in THE NEXT TETRIS has a finite end. In typical TETRIS style, blocks are place on the screen at the beginning of the level, and it's up to you to clear them off. But unlike TETRIS, which discouraged you from leaving gaps in your formations, in THE NEXT TETRIS it's OK to have gaps, as they can cause big chain reactions when other blocks fall on them. The TETRIS series has moved into the polygonal world, as in THE NEXT TETRIS you'll see blocks that can shake and change shape. Play TNT alone or compete against a friend in two-player mode and see who is the true TETRIS master.;http://www.ign.com/games/one-piece-mansion/ps-488410,http://www.ign.com/games/wheel-of-fortune-1998/ps-10374,http://www.ign.com/games/shanghai-true-valor/ps-11799,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Puzzle;PS PC Nuon DC;8.8;Great;7.6;Good;Hasbro Interactive;Blue Planet Software;E for Everyone;;Jun 16, 1999;28.99 USD;http://psx.ign.com/articles/161/161164p1.html
Extreme Watersports;http://www.ign.com/games/extreme-watersports/pc-11834;You'll head out to the water for the extreme skiing experience of a lifetime. Start things off in the pro shop, where you'll select you boat, skis, and peripheral equipment provided by companies like MasterCraft, O'Brien, Wet Tech, and accuSki. You'll compete in three incredible events Slalom Skiing, Jumping, and Wake Boarding each with unique tricks to pull off and obstacles to steer clear of. See if you can master maneuvers like the 360, 720, Tail Grab, Hoochie, and Indy, earning cash for good performances. You've never had this much fun without getting water in your ear.;http://www.ign.com/games/nba-2k17/pc-20052300,http://www.ign.com/games/pro-evolution-soccer-2017/pc-20054110,http://www.ign.com/games/wwe-2k17/pc-20063609,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Sports;PC;1.0;Unbearable;5.1;Mediocre;HeadGames Publishing;HeadGames Publishing;E for Everyone;;Apr 15, 1999;17.99 USD;http://pc.ign.com/articles/161/161834p1.html
Magic & Mayhem;http://www.ign.com/games/magic-mayhem/pc-11185;Strategy game set in a fantasy universe. The game boasts good design and an effective interface. The game options include a good multiplayer mode.;http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Strategy;PC;7.3;Good;8.2;Great;Bethesda  Softworks;Mythos Games;T for Teen;Animated Violence;Spring 1999;37.99 USD;http://pc.ign.com/articles/161/161185p1.html
High Heat Baseball 2000;http://www.ign.com/games/high-heat-baseball-2000/ps-11553;Ah, the smell of fresh cut grass and pine tar. It is spring, and that means that it is time for baseball. Thanks to HIGH HEAT BASEBALL 2000, you can play baseball anytime. Choose from all 30 Major League teams (all with their actual rosters) and hit the field. You can jump into the action with two randomly selected teams in a Quick Game, or if you prefer to pick your team and the opposition, play the Exhibition mode. Season mode will allow you experience the ups and downs of the Major Leagues, or cut to the chase and try to win the World Series in the Playoff mode. If you don't have enough time for a full game, take the Home Run Challenge and try to knock the cover off of the ball. HIGH HEAT BASEBALL 2000 will give you all of the action of professional baseball, even in the middle of winter.;http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Sports;PS PC;4.5;Bad;6.3;Okay;3DO;Team .366;E for Everyone;Suitable for Persons Ages Six and Older;May 1999;25.99 USD;http://psx.ign.com/articles/161/161553p1.html
Star Wars: Episode I: Racer;http://www.ign.com/games/star-wars-episode-i-racer/n64-10490;"Imagine Ben Hur in a galaxy far, far away. Replace the two-wheeled carriage with a futuristic, hovering pod -- now take away the horses and strap two giant afterburner-powered engines to the vehicle. The boost of the two fuselages pulls the carriage forward at speeds in excess of 600mph and a stream of pure energy, called a mag beam or coupler, makes sure that the engines don't fly off in opposite directions. Like its ""real,"" up to 40-foot-long counterparts in the movie, Racer's pods use a three-point dynamics system that will cause the carriage to realistically drift in the air behind its two engines. Unlike the movie, which features 18 opposing racers, Episode I Racer stars more than 21 characters complete with their rides, including three pods based on original design concepts that weren't used in the final film.";http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Racing;N64 GBC Mac DC PS PC;7.2;Good;7.7;Good;Nintendo;LucasArts;E for Everyone;No Descriptors;May 19, 1999;49.99 USD;http://ign64.ign.com/articles/160/160490p1.html
Yoot Tower;http://www.ign.com/games/yoot-tower/pc-11789;Hotel/retail sim. Designed by the same designer as the successful SimTower. Yoot Tower is essentially an ever-so-slightly modified version of its predecessor. Considering the fun factor of the original, that can be a good thing.;http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Strategy;PC Mac;7.8;Good;8.7;Great;SEGA;OPeNBook9003;E for Everyone;;May 1, 1999;;http://pc.ign.com/articles/161/161789p1.html
Need for Speed: High Stakes;http://www.ign.com/games/need-for-speed-high-stakes/pc-11562;Push your car to the limits in High Stakes racing for prize money to customize and buy your dream cars. Gamble your car on single races or develop your career. Cars can be damaged and a new Hot Pursuit mode has been added requiring you to avoid being caught by the police. Features eighteen models of cars on nineteen courses.;http://www.ign.com/games/forza-horizon-3/pc-20054784,http://www.ign.com/games/flatout-4/pc-20068143,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Racing;PC PS;7.5;Good;8.0;Great;Electronic Arts;Electronic Arts;E for Everyone;Suitable for Persons Ages Six and Older;Jun 20, 1999;14.99 USD;http://pc.ign.com/articles/161/161562p1.html
Unreal Mission Pack: Return to Na Pali;http://www.ign.com/games/unreal-mission-pack-return-to-na-pali/pc-11653;"After narrowly escaping the Skaarj invaded planet Na Pali, you find yourself stranded in space; fortunately you are soon rescued - but unfortunately, your saviors want you to go down again. A simple mission, find a downed spacecraft... Or is it? 17 new levels, 2 new weapons and 3 new monsters are here to prove the contrary.";http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/metal-gear-solid-5/pc-20023125,http://www.ign.com/games/resident-evil-7/pc-20054862,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Action;PC Linux;8.0;Great;7.8;Good;GT Interactive;Epic Games;M for Mature;Animated Blood and Gore, Animated Violence;May 31, 1999;;http://pc.ign.com/articles/161/161653p1.html
Golf;http://www.ign.com/games/golf/gb-4116;Meet your caddy at the tee. Golf for Game Boy brings you 32 holes of realistic golf action with hazards that change every time you play. Each hole has tricky hazards, so strategy is a must. Read the wind direction, check the distance, select a club, adjust your swing and keep your eye on the ball. Then, drive it home. A scorecard will keep track of your points for each hole. From twisting fairways and hungry sandtraps to big water hazards and deceptive greens, Golf is packed with challenges.;http://www.ign.com/games/bo-jackson-two-games-in-one/gb-4083,http://www.ign.com/games/madden-nfl-96/gb-10972,http://www.ign.com/games/baseball/gb-12953,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045;Sports;GB 3DS;9.0;Amazing;7.8;Good;Nintendo;Intelligent Systems;E for Everyone;;1989;;http://gameboy.ign.com/articles/154/154116p1.html
Vegas Stakes;http://www.ign.com/games/vegas-stakes/gb-11994;Ante up! VEGAS STAKES for the Game Boy offers you the chance to gamble your way through Las Vegas with a whole assortment of games to play. There are five games, including such classics as slot machines, Blackjack, and poker. There are four different casinos to visit that offer up different betting structures and varying odds. The game starts you out with $1,000, but the sky's the limit if you win. Along the way you'll also meet some people who will offer you the chance to join in some side betting, such as horse racing or boxing matches. If you feel that a bet is not entirely in your favor, a battery save option is available just in case it doesn't pan out as you had hoped. VEGAS STAKES is just like the real city: exuberant, exciting, and above all else, unpredictable.;http://www.ign.com/games/harvest-moon-gb/gb-10181,http://www.ign.com/games/densha-de-go/gb-679590,http://www.ign.com/games/legend-of-the-sea-king-2/gb-10984,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045;Simulation;GB SNES Wii U Wii;7.0;Good;8.3;Great;Nintendo;Nintendo;K-A for No Rating;Gambling;1995;29.99 USD;http://gameboy.ign.com/articles/161/161994p1.html
Ape Escape;http://www.ign.com/games/ape-escape/ps-11105;In a genre that often lacks originality, Ape Escape shines with innovations that utilize the DualShock controller like never before. Each level in Ape Escape requires you to capture a set number of apes using a variety of gadgets which are provided by the mad professor (who let all the monkeys loose in the first place). The control is definitely a plus of this game -- the left stick on the pad controls the movement of the main character, the right stick operates the chosen weapon or tool and points it in whichever direction you choose. Extensive use of the two sticks is necessary throughout the game for everything from swimming to rowing a boat.;http://www.ign.com/games/crash-bandicoot/ps-603,http://www.ign.com/games/crash-bandicoot-warped/ps-3919,http://www.ign.com/games/crash-bandicoot-2-cortex-strikes-back/ps-2037,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Platformer;PS PSP PS3;9.5;Amazing;8.9;Great;Sony Computer Entertainment;Sony Computer Entertainment;E for Everyone;;June 22, 1999;14.99 USD;http://psx.ign.com/articles/161/161105p1.html
Pokemon Blue Version;http://www.ign.com/games/pokemon-blue-version/gb-16708;"It's the game that started a revolution, but it's not just the fad that convinced gamers to ""catch 'em all."" This deceptively simple and child-friendly role-playing game design is a far deeper game design than it looks. Pokemon features way more strategy and gameplay than it leads on, offering gamers almost infinite gaming possibilities even after the main adventure ends.Are you a good trainer? Find out as you try to capture and train pocket monsters, otherwise known as Pokemon. As Ash Ketchum, you'll pursue a variety of different monsters. Train them well, and they'll evolve into more powerful monsters. Work through the game to defeat eight Gym leaders, and trade with your friends' copies of Pokemon Red/Blue/Yellow in order to collect all 150 Pokemon!";http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,http://www.ign.com/games/pokemon-green-version/gb-16831,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,http://www.ign.com/games/pokemon-green-version/gb-16831;Turn-Based, RPG;GB 3DS;10.0;Masterpiece;9.3;Amazing;Nintendo;Nintendo, Game Freak;E for Everyone;Animated Violence;September 1998;29.95 USD;http://gameboy.ign.com/articles/166/166708p1.html
Pokemon Red Version;http://www.ign.com/games/pokemon-red-version/gb-9846;"It's the game that started a revolution, but it's not just the fad that convinced gamers to ""catch 'em all."" This deceptively simple and child-friendly role-playing game design is a far deeper game design than it looks. Pokemon features way more strategy and gameplay than it leads on, offering gamers almost infinite gaming possibilities even after the main adventure ends.Are you a good trainer? Find out as you try to capture and train pocket monsters, otherwise known as Pokemon. As Ash Ketchum, you'll pursue a variety of different monsters. Train them well, and they'll evolve into more powerful monsters. Work through the game to defeat eight Gym leaders, and trade with your friends' copies of Pokemon Red/Blue/Yellow in order to collect all 150 Pokemon!";http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,http://www.ign.com/games/pokemon-green-version/gb-16831,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,http://www.ign.com/games/pokemon-green-version/gb-16831;Turn-Based, RPG;GB 3DS;10.0;Masterpiece;9.3;Amazing;Nintendo;Nintendo, Game Freak;E for Everyone;Animated Violence;September 1998;29.95 USD;http://gameboy.ign.com/articles/159/159846p1.html
James Bond 007 [1998];http://www.ign.com/games/james-bond-007-1998/gb-9461;An arms smuggling ring threatens to create a new world order. The peace and security of the entire planet is at stake. MI6 sent agent 008 into Turkey to dismantle the operation. Soon thereafter, all contact was lost with 008. M makes a decision to send their best agent, James Bond, to investigate the whereabouts of 008. As Bond carries out this latest order, he becomes entangled in his deadliest mission yet!As James Bond, you must use all of your expertise to unravel the sinister plot. It is up to you to determine friend from foe as you uncover clues. Along the way, weapons and items will be found that assist you in overcoming the many obstacles placed in your path. Be sure to keep an eye open for Q and his unique brand of help. Be careful, bond -- you may not be able to charm everyone.;http://www.ign.com/games/the-legend-of-zelda-links-awakening/gb-5950,http://www.ign.com/games/metroid-ii-return-of-samus/gb-9335,http://www.ign.com/games/home-alone/gb-10416,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045;Action;GB;7.0;Good;7.5;Good;Nintendo;Saffire;E for Everyone;Mild Animated Violence, Gaming;1998;;http://gameboy.ign.com/articles/159/159461p1.html
